Coord_x,Coord_y,ISOS_z,ISOS_Size_x,ISOS_Size_y,COST_z,COST_Size_x,COST_Size_y,Cone_Type(L=1;M=2;S=3)
4,17,33.00141346,8.142639872,10.45725222,58.90199324,7.287705854,11.03805026,2
4,35,33.2522017,7.063761033,13.93621273,60.14128526,8.775308243,13.0866591,2
4,77,31.05054651,6.999790316,9.996484786,55.32116358,10.3135033,15.20142268,1
4,117,30.63583793,12.55543011,11.31754623,55.95520766,9.102317517,9.108449969,2
4,139,30.73504432,6.347981278,10.35034739,54.30598603,7.152085065,8.903305209,1
4,156,31.90357264,5.214953852,11.0874083,56.93370411,7.088393752,9.140026734,1
4,199,30.7027826,6.126546583,12.17383673,56.65195727,7.064996912,9.564255625,NaN
5,228,30.61577441,16.77679457,11.3145207,54.25595228,15.23886135,8.468322136,1
5,241,NaN,NaN,NaN,NaN,NaN,NaN,3
6,28,31.38287937,9.425498201,14.83800757,56.59599117,8.143330366,12.30116115,2
6,104,31.30614719,6.397412397,12.31899444,53.87025356,5.420102164,9.198466632,2
7,40,31.33779506,11.72160725,13.16240539,56.977147,9.064970879,11.4302485,1
7,84,30.16388086,6.649759336,8.507079092,50.59007132,8.257282564,10.4924643,1
8,170,29.50471987,5.974325379,8.552068601,52.75953913,6.875814617,7.612842915,1
9,119,30.85118555,8.198408942,11.97024347,55.54902399,7.6029761,9.512776806,2
9,182,29.90110971,6.481597923,8.227077043,54.96477312,8.914337859,8.940686231,1
9,247,32.43415004,8.871895258,9.404780213,55.92965978,15.45153541,8.895904173,2
10,11,32.99545419,7.83053998,8.146581106,58.35336613,12.44968992,9.279591625,NaN
10,51,32.26886298,8.221145561,8.352161255,57.33743954,10.05605739,9.257698763,1
10,61,32.4641098,9.733650623,12.36123421,57.78303689,7.787989089,9.260879077,1
10,109,32.08792891,6.473667576,14.41229976,57.17334633,7.975421876,10.39267763,1
10,130,32.24223903,8.742745744,13.67940941,53.90915872,7.873254251,8.818401985,1
10,204,30.72506794,9.304560393,12.46220074,53.43460766,7.79337824,7.104901137,2
10,212,29.54212622,5.710615338,8.738604697,53.05688369,8.832798644,11.0244713,2
10,233,31.09714964,8.037434977,12.76382093,55.459689,10.87919537,10.84284414,2
11,99,31.53867007,7.863101935,10.53159917,55.72836492,8.855515626,11.93689809,1
12,74,31.03089506,8.653399046,11.75774128,57.88928532,7.933439852,9.819155416,2
12,82,32.15558202,7.526998751,13.5336671,58.14167562,7.657253594,9.316975618,2
12,192,32.14992826,5.597743986,10.27872719,56.28159096,6.157587395,9.575956271,1
12,224,29.49000213,11.52804924,8.435241846,51.98022196,12.80102213,9.288331322,1
13,137,31.9988077,14.51018521,14.28033827,56.18085647,7.184107794,9.166159494,2
13,254,30.31485014,11.90298404,10.88439528,53.13343424,10.12464698,9.250991649,1
14,126,31.59171743,6.013771898,9.585377349,53.98530004,6.880847907,7.837910145,1
14,172,30.06543115,6.572833669,9.411317879,53.82483098,7.070324986,11.09267298,2
15,56,31.58315905,12.75787628,15.0306005,56.89597192,8.018203303,9.900630717,2
15,66,34.48638116,7.152843324,11.54178806,58.13622127,8.681028809,8.824619113,3
15,113,31.17270031,6.469870711,8.553616917,56.11665858,6.294692214,7.274704853,1
15,183,33.31440554,12.77946659,11.87362999,51.87675857,7.722865623,9.875911878,3
15,237,30.35681373,14.71325919,9.360723593,54.26959448,12.07183847,14.68639809,1
16,24,32.1724644,9.934138167,8.923229022,57.90024108,9.549080477,8.220566659,1
16,102,31.0073432,14.16051754,12.05273756,55.88201083,7.281822446,8.592638995,2
17,48,32.43942585,7.312213378,8.930780335,57.55404333,11.48866282,9.605022982,1
17,91,30.49883752,11.26114379,14.48091818,54.9481215,6.820485472,9.211070688,2
17,143,30.76216947,6.138867177,9.077593517,53.26020841,6.119909109,8.145263492,2
17,195,31.09580377,8.184890873,10.68424954,55.81186104,12.19551669,10.32074233,1
17,208,31.28553666,7.2126904,8.037085932,55.3901659,8.874424244,13.11952371,1
17,227,30.6005127,10.88592889,10.65216591,55.01422374,14.69326092,11.17624101,1
19,39,31.22136714,11.89651228,9.556153533,51.69181674,8.738525249,12.30329143,1
19,153,30.62026685,6.624943758,9.853483172,56.02242153,7.095211997,12.20190229,1
19,217,29.46484519,8.492370083,8.259522467,52.82778603,11.22562692,12.64902624,2
19,249,31.55942989,5.788045501,8.705109828,52.54192616,8.149455155,11.44253396,1
21,13,31.75060917,15.27932168,10.12238092,55.9135748,10.5021901,10.27328049,1
21,23,32.71816819,7.273922717,8.203112183,58.09003652,9.024797685,10.82096457,1
21,81,31.75223091,8.199844104,10.57278983,55.1692081,6.770660852,8.005982347,1
22,31,31.73857778,9.175284091,10.08673398,58.13183958,6.583447527,8.368599859,1
22,104,31.46505853,7.488217524,8.578547733,55.74309458,6.794286418,9.295675196,1
22,129,31.63008742,6.724537047,9.065215386,57.99669332,7.259445666,7.533918474,1
22,170,30.9612018,6.887482022,12.88379465,51.45481608,8.886633697,8.340329351,1
23,50,31.5674026,12.1737949,17.24499277,55.804555,9.323408536,9.407527066,1
23,236,30.56506936,9.314631475,11.8682557,56.30568331,7.706931548,8.95036662,1
24,60,33.27835195,8.199020094,9.331548465,60.31488131,10.31920753,10.59263431,1
24,88,32.41593889,5.514418323,9.102964501,56.80484191,7.140454944,8.530120184,1
24,96,33.27404555,5.970464373,11.79139702,56.49545698,9.298937558,12.71873357,3
24,138,30.76772573,5.278888364,8.830907056,57.52754585,7.811171888,15.17035007,1
24,191,31.59136084,5.150851664,9.320374694,53.45571014,5.85237561,7.612170412,1
24,201,33.23688107,7.954649117,12.48770797,57.55515109,7.176554349,9.592014809,3
25,5,31.14099211,8.483219985,8.444095851,58.39829922,11.36161312,11.94995358,NaN
25,42,32.41065303,7.746495208,12.83347275,60.77041287,7.847081717,7.418157375,2
25,221,30.9694587,11.34108979,11.50906283,54.64703528,17.36212566,9.299777795,2
26,116,29.54904655,5.770291179,7.639083429,49.70735585,9.49432431,10.38463827,1
26,251,31.388095,7.248441145,8.734581875,54.63078763,8.725135537,10.46346908,1
29,104,31.06924458,5.761464355,8.542038753,55.32017734,7.361631193,9.382575915,2
29,125,32.02094827,6.03862032,8.000208193,57.02736944,6.380184429,8.441734516,1
29,132,31.51947108,6.290900733,10.9044562,56.37917776,9.907426897,16.11910475,1
29,153,31.23331866,8.919637048,10.12977022,55.45833272,7.776622178,8.196081744,1
29,229,30.65095822,7.885218052,9.176941096,55.05441412,8.027007792,8.262399932,1
30,34,32.8498906,11.00579812,7.768894591,50.78509788,11.58049927,11.22750924,NaN
30,88,30.91082288,6.213585147,10.17884494,58.39065509,6.22395262,9.281330549,1
30,163,30.37196062,8.638715538,11.27624434,50.85410905,6.796735024,9.578075311,2
30,185,30.11929149,9.172210013,13.26161519,56.82741909,7.735548428,7.47027454,1
31,81,31.10511838,6.719658683,8.517654785,57.05991685,6.580133283,9.112791693,2
32,64,32.26637401,6.126750683,9.6006886,53.30761787,7.007842773,8.203646888,1
32,71,28.77324402,6.835362221,11.58631526,54.09309584,9.434446484,19.35165875,1
32,114,31.68564046,7.245778803,8.40288255,56.34292429,5.870754187,9.724257997,2
32,143,34.09236194,6.276660414,9.832592646,55.84878584,8.743135289,16.42469053,3
33,42,33.17485246,6.74951674,10.64319306,60.69667782,16.27031835,8.546609416,1
33,98,31.61808761,6.896880778,16.55838258,53.93795123,7.953352749,12.19265203,1
33,194,30.61194125,6.848060476,9.955081711,53.51954266,9.366434896,10.81322746,1
33,244,31.18517135,13.8946982,9.154911359,55.33542807,15.91109872,14.78789674,1
34,27,31.18942506,7.01364291,12.97979167,57.85062923,7.197562006,9.444384593,2
34,52,32.02188621,7.142378089,9.698350356,59.95677353,10.2132772,10.00830142,1
34,214,30.89571024,5.777238447,10.08583389,54.95384506,8.447317289,12.42703548,1
35,126,32.46749456,6.650722053,10.16603012,57.20816777,6.109179329,8.428099779,2
35,151,30.99051683,6.705333883,8.025761577,54.23967777,6.950626141,7.045639729,1
35,225,30.54831862,11.33552753,10.52410386,58.01025885,8.465906991,10.4786597,2
35,233,30.75590752,12.43510721,11.95841899,55.50060023,12.84242589,9.975549114,1
36,34,33.74759383,6.967880479,10.38663183,55.58219032,14.53236818,16.39399059,3
36,135,30.57518545,5.628898983,8.731169373,53.93441474,6.424710283,7.978707559,1
36,160,29.35959532,8.257068417,10.54373878,52.15902793,10.61368471,11.17834027,1
37,23,NaN,NaN,NaN,NaN,NaN,NaN,1
37,86,30.57834614,6.443008142,13.97929135,57.7886706,7.230910351,9.936015435,2
37,185,32.09904893,8.000033488,12.60089011,58.34907913,12.3602972,9.066955151,1
37,200,30.893254,7.970375417,8.951952567,54.18158676,7.159910975,7.829968352,2
37,208,34.7665909,11.00665745,12.28202931,56.96878734,15.07220042,10.97282543,3
38,78,31.21319355,5.899745707,13.01600818,56.97963325,7.108650419,7.748471808,1
38,250,30.25305346,11.23765231,9.661022689,53.60747468,8.561132541,7.3991082,1
39,18,32.42008566,6.990820851,8.589254108,58.5125665,9.3355839,7.499188344,1
