Coord_x,Coord_y,ISOS_z,ISOS_Size_x,ISOS_Size_y,COST_z,COST_Size_x,COST_Size_y,"Cone_Type(L=1;M=2;S=3; Undertermined=4, can ignore)"
4,67,31.36231753,6.665579423,10.94492933,58.86782206,7.969192234,9.553128592,1
4,91,30.84196136,12.49368859,17.10226756,57.43389262,10.71764547,12.61983545,1
4,133,32.19337605,9.745213629,10.88807096,58.62010622,14.18778949,13.29161388,1
4,154,32.17976909,8.416609314,10.98838602,58.07566355,11.45297208,11.70914572,1
4,171,31.78266005,7.934489893,8.451560402,56.73555139,11.08644124,10.34044687,1
5,29,32.84402628,9.684159096,11.85782966,60.72055673,15.13517416,9.566574964,1
5,144,32.60028797,9.793442334,10.32764257,60.53000923,12.20476914,13.42648426,1
5,244,31.73812444,10.24704189,9.13839006,57.25259291,17.01512397,8.930134381,1
5,256,32.05979224,10.44866631,10.74014359,60.33467346,13.12002136,11.07635777,1
7,37,33.03200895,8.526542125,9.066807453,60.15045255,14.95648392,12.67862551,1
8,52,28.72659302,13.12807426,12.24113629,59.1470016,11.06917264,12.10329986,1
8,82,30.92176837,10.49297936,9.16725817,58.28236247,10.43110092,9.527657072,1
8,233,32.28486422,7.734737094,9.481063232,61.71059482,8.271804485,8.191551489,1
9,188,32.34954423,5.954242144,9.975526624,60.96672518,7.712944379,9.801039252,1
9,209,31.40686761,7.305544538,9.911827837,61.5652562,12.15230302,9.403647264,1
11,23,32.29344591,8.354425433,11.73723124,59.238061,11.15913333,15.31384073,1
11,130,31.53145204,6.620674123,7.935007415,58.72205403,7.986961879,8.742814103,1
11,200,30.95602328,6.874845759,10.53786643,57.11508632,7.286286588,9.29333773,1
11,250,32.96709626,13.28032381,9.335314343,62.6584838,11.75573551,10.08575349,1
11,262,31.47956328,9.01069169,10.71629446,58.47888666,15.66376434,10.7628578,1
12,32,31.91875626,9.33608131,18.05671316,57.60076593,8.833681648,8.596056182,1
12,284,33.02963978,8.241671233,7.850728446,60.16954548,13.26002999,9.349875885,1
13,60,30.7014572,11.91194068,11.03849441,55.87380993,7.862628153,8.363789712,1
13,139,32.87766699,7.984257608,9.496653083,61.40557313,9.041763737,8.484924277,1
13,160,33.12533185,7.755446011,10.17634941,58.68810998,8.819147095,11.611282,1
13,226,32.38713078,7.741172161,8.595023413,59.18763648,11.02330559,13.52638167,1
14,79,31.36786082,8.067681072,9.327855255,57.6198282,10.6484274,11.77370827,1
14,148,31.98607307,7.007020173,7.4003169,60.4867517,9.545510679,9.807169568,1
14,178,31.37474242,10.41337551,14.18074361,56.80306694,10.07397266,14.93188894,1
15,42,29.33969061,8.475337072,9.182018591,58.57440459,9.315931104,8.444820272,1
15,52,29.11331737,10.71925144,8.472040117,58.55945749,8.340021907,8.94204434,1
15,215,31.75835296,7.775104349,8.28482918,59.51785046,8.689273748,7.833984604,1
15,239,33.07579401,7.083840516,8.054162959,61.34977036,7.94910048,7.765097544,1
16,5,31.39751274,7.352338555,9.084983553,61.83140519,12.61088529,12.01014222,1
16,192,31.95548588,7.937575967,11.7506781,56.98068419,8.018898804,10.298805,1
17,90,32.59574554,9.36719059,14.22201541,61.6633095,9.678294037,11.06766913,1
17,98,33.64386941,6.846903018,11.99524963,60.65711904,7.185675775,8.906412275,1
17,122,31.95019005,6.459348746,8.799507619,60.28311175,9.61915166,8.872787711,1
18,33,30.5103141,12.54695358,9.54214388,58.20038808,13.90770088,8.120672632,1
18,64,30.91851104,8.212323191,9.785499215,58.49717365,12.59613444,10.07347064,1
18,174,31.57363938,9.434112464,12.89372358,58.88892589,9.927395047,10.44840969,1
18,253,32.27592818,7.114776636,10.14885191,58.63861281,8.42005654,11.20477227,1
19,132,31.44808768,7.785294521,9.537364058,60.19904849,14.55149792,10.52833098,1
19,164,32.8409865,16.64827966,12.4244614,59.95584442,10.77708579,9.167051298,1
19,231,30.83890993,9.593890115,12.80996998,57.51190994,12.85412836,10.89627428,1
20,155,30.45733364,7.948887727,8.739311735,60.62191249,10.66108477,8.58124501,1
20,207,32.26200533,11.93179443,9.897085757,59.49850082,10.77703701,9.898532815,1
20,265,29.72551614,10.46891812,11.29430741,59.90712463,9.69177738,10.51904174,1
21,53,30.22710162,7.712712394,10.04580229,60.62134966,9.747450563,8.305134209,1
21,76,31.2666474,11.16797782,12.62230211,59.45398147,12.40291098,11.98950972,1
21,143,32.70848911,10.70804975,8.422222631,62.23939252,11.91949684,11.22955624,1
21,186,30.80026459,10.24339667,10.87179153,57.79749357,10.74004695,9.235434963,1
21,283,35.13785338,6.551286972,9.799691453,57.96938381,9.111957467,12.35412807,3
22,24,30.93195916,8.426287376,9.556282842,58.15917808,8.503790199,8.455860495,1
23,221,32.65748072,9.126286072,8.227220885,60.29100338,12.81279146,12.08121414,1
23,245,32.54785387,10.08031967,14.14101598,61.03382324,8.466059954,9.770357306,1
24,32,30.88824736,11.2525386,15.99280614,58.53312792,10.50701687,9.740332278,1
24,70,NaN,NaN,NaN,NaN,NaN,NaN,4
24,257,31.63935756,12.11342385,16.97094722,59.48733758,8.777614091,10.47375142,1
25,87,33.92078985,6.82476329,7.346649755,NaN,NaN,NaN,3
25,135,34.03309473,9.892942765,7.250653483,60.56509749,12.29088213,9.533891057,3
25,234,32.98094166,9.312103432,9.878071454,58.66657813,12.03644045,9.519322405,3
26,60,30.95813448,8.293865451,11.61896879,59.37570907,15.26808487,11.37866015,1
27,16,32.52741126,8.336902342,9.013763178,54.29408156,10.99441363,12.66398825,3
27,79,31.50679002,8.963256254,12.93040688,62.09566026,9.172749217,10.7802299,1
27,153,31.00297134,9.210945012,13.73227742,59.21574389,11.32036695,11.69948365,1
27,179,32.72862797,8.433417332,9.979642422,56.36820981,10.63572473,9.648335796,1
28,94,31.25835278,8.921796744,18.57098737,58.39068258,9.126036811,8.122284114,1
28,145,33.1821078,11.77366208,8.694216191,60.61393653,8.71432264,7.788080055,1
28,214,32.55161844,13.59268584,15.98908759,59.302197,15.48497527,9.524225986,1
28,287,32.49839864,12.31951422,8.994336323,58.87538981,8.936579273,7.921929999,1
29,38,31.53138403,8.526836416,8.946926124,62.90034968,10.78192839,9.968841888,1
29,191,30.28802503,7.986690058,8.519204303,56.59973637,8.791356361,9.083389185,1
29,200,31.41423691,8.193002036,8.383617234,58.40476339,8.104325177,7.593079533,1
30,6,32.41545693,10.57230368,9.050417577,59.19312095,10.29612063,9.285032703,1
30,70,30.47798187,8.324815579,9.2982445,58.20878725,9.869032881,9.640429833,1
30,253,31.82653737,7.840067002,7.225675646,60.28771735,10.31341154,7.888768489,1
31,126,31.04669377,9.393477673,11.91251568,61.30299426,14.41043395,10.09525917,1
31,224,33.03121864,8.21813709,8.347238485,58.79522175,9.179482212,9.446880447,1
31,242,32.15077593,8.940090935,12.36324665,65.27448463,11.98572458,9.363937337,NaN
33,45,32.08260528,11.18975349,17.15874523,57.61046467,11.30654518,10.47900223,1
33,108,32.21429453,10.36160633,9.976315294,61.29489047,10.88761945,8.777951792,1
33,136,30.94415891,10.79407136,10.07467097,58.75521646,9.586855297,10.33983156,1
33,181,34.52218045,6.697930908,7.104812549,59.72690644,8.778535188,9.135517396,3
33,280,30.84919763,11.03772096,9.871708468,60.96552481,14.27982432,11.43597911,1
34,61,30.66978045,18.09495456,16.05468632,57.28953054,15.29488125,10.57623713,1
34,153,31.57454874,17.42702759,15.00497855,59.40265013,10.7378843,11.00506019,1
34,163,30.9780191,7.380704496,12.13637793,58.55200969,12.05165028,9.231257623,1
34,202,32.59949391,11.68729478,11.82721933,58.38974574,12.24942996,10.61164077,1
