Coord_x,Coord_y,ISOS_z,ISOS_Size_x,ISOS_Size_y,COST_z,COST_Size_x,COST_Size_y,Cone_Type(L=1;M=2;S=3),,,,
4,85,27.87489588,8.634185162,10.09027292,53.27224019,5.954962601,7.837567591,1,,,,
4,183,25.17353223,15.13311095,16.36538432,49.22658664,9.389582338,13.14014492,1,,,,
4,253,26.4341438,5.776679995,8.111203575,51.62638371,7.758963288,8.398368182,1,MEAN,154.6224169,129.0700269,27.16509915
5,31,27.29209738,7.583522609,9.837380575,53.50459191,8.632885192,9.798194374,1,STDDEV,83.46804046,73.26322744,1.580438295
5,54,27.18747894,8.626349398,12.97208273,53.64964558,6.908678628,7.32199461,1,,normlized data,,
5,94,27.63296772,5.766216178,8.608749985,47.93254789,8.288848797,8.345963028,1,,,,
5,210,26.39480447,6.729259575,8.835128938,53.73949825,7.020683915,7.474679911,2,,,,
6,40,27.91462904,5.94681628,8.620653908,54.00774752,6.164869328,7.790463088,1,,,,
7,75,26.32922358,7.649992405,8.420245896,51.40597404,9.025866679,8.425125383,1,,,,
7,103,26.23626514,7.144763749,8.681996642,54.3082727,9.44637342,9.027698629,2,,,,
7,130,25.54967957,13.80265881,13.12062426,51.07495908,9.932859106,9.876364764,1,,,,
7,148,24.18553007,8.525815248,7.625771327,49.15441787,14.16934857,10.04363672,1,,,,
7,176,25.80064522,9.637037311,12.16706519,52.51689436,9.140818456,12.84085931,1,,,,
7,199,25.23756878,9.868349823,12.8361729,64.75344909,9.358103616,9.283738552,1,,,,
8,11,31.3759988,5.455074108,8.687876192,54.1827213,7.040057802,9.224211067,3,,,,
9,64,26.82296483,9.827833742,8.785125002,51.46779129,10.13967429,13.76874321,1,,,,
9,188,26.11191319,8.08169991,9.404565453,52.50135476,7.018542059,9.201668233,1,,,,
10,28,28.37005494,12.81259496,10.1038788,53.95622615,9.342782145,10.043658,1,,,,
10,136,25.4203972,13.8783254,16.539357,52.80671181,7.730340977,9.064932114,1,,,,
10,247,27.14456219,6.32189304,10.62670264,50.28793708,6.04840082,7.07487315,1,,,,
11,84,27.32120284,7.665559229,15.64371138,52.07729731,5.83134269,7.38130432,1,,,,
11,123,26.90079355,13.28007002,11.67149078,47.63688283,10.27603879,9.289899149,1,,,,
12,239,27.18721978,8.287503282,8.208159168,51.06044824,8.110806725,7.745052496,1,,,,
13,56,27.49934834,7.015971109,9.883713811,53.31561418,6.157403741,6.810706513,1,,,,
13,112,25.06375182,7.917330351,9.23456402,50.74500653,7.325587629,10.7300396,1,,,,
14,94,26.07581146,8.765221842,10.22917224,49.70888583,6.757344479,8.149416141,1,,,,
15,15,28.56320121,7.066929911,9.293953858,52.30718297,5.617079837,7.61306974,1,,,,
15,74,27.15651611,10.2130405,11.14005245,54.60366703,10.91182582,11.7167808,1,,,,
17,49,25.86882648,8.5120887,9.621181129,51.25325067,7.793777778,8.201120725,2,,,,
17,64,32.02898842,5.549029237,7.929502129,54.3628233,10.5057434,10.99969377,3,,,,
18,24,28.23405649,8.568221958,13.56914978,52.04297115,6.335269951,9.545521385,1,,,,
18,201,25.66568371,13.39902414,11.31657147,NaN,NaN,NaN,1,,,,
19,34,27.33272464,11.30079266,10.19937102,53.87013503,8.717943985,8.590145909,2,,,,
19,150,28.80894645,8.479848993,9.388985878,59.70474705,9.075387197,11.22858547,2,,,,
20,41,28.03878585,9.838612544,11.02634072,53.87712182,6.464111037,10.48423896,1,,,,
20,91,26.21829494,9.337028034,12.87021467,52.53269534,11.87578699,10.09989925,1,,,,
20,239,26.7126728,15.71417708,10.94847745,53.95363961,7.653372191,7.161316243,1,,,,
21,57,27.63278172,11.16136193,10.63102053,52.10940233,7.714139818,9.22741154,1,,,,
21,171,NaN,NaN,NaN,NaN,NaN,NaN,1,,,,
21,180,30.95532152,6.80823261,7.84217046,55.63497894,9.000053663,10.78119796,3,,,,
22,190,26.38004297,6.247169091,8.32268862,51.01702866,8.782140474,9.438493083,1,,,,
22,249,26.91225235,6.62596883,9.243024688,50.08600284,7.468337268,10.70295342,1,,,,
22,258,24.36765679,6.225850117,8.941788022,49.09582864,7.630355736,10.33908989,1,,,,
23,14,27.94767292,7.155904467,13.62691016,64.11879392,14.3834076,12.48706209,1,,,,
23,69,26.7442266,6.278423148,7.734183364,52.38893029,6.738646773,7.453212064,1,,,,
